,name,discription
26,                    acrylates/C10-30 alkyl acrylate crosspolymer                ,"A synthetic ingredient used to enhance the texture of skincare and haircare products. The Cosmetic Ingredient Review has deemed it safe as it is currently used in cosmetics.Reference for this information:Cosmetic Ingredient Review Final Safety Assessment, November 2011 - http://www.cir-safety.org/sites/default/files/crossl092011final_for%20posting.pdf"
27,                    acrylates/dimethicone copolymer                ,Silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better to skin.
28,                    acrylates/steareth-20 methacrylate copolymer                ,Synthetic polymer that blends steareth-20 with one or more forms of methacrylic acid. Functions as a thickening agent.
29,                    acrylates copolymer                ,
30,                    Actaea racemosa                ,
31,                    Actinidia chinensis (kiwi fruit) extract                ,"Kiwi fruit extract is an excellent source of antioxidants for skin, including vitamin C and several polyphenols. The antioxidants in kiwi can help defend skin from the visible effects of airborne pollutants. Kiwi fruit is also a good source of the carotenoid antioxidant lutein.  References for this information: Plant Foods for Human Nutrition, October 2017, pages 325-334 Nutrients, August 2017, ePublication Food Technology and Biotechnology, December 2016, pages 462-467 Nutricon Hospitilaria, Supplement 4, July 2016, page 340 Current Topics in Medicinal Chemistry, Volume 11, 2011, pages 1,811-1,820 "
32,                    adenosine                ,"Yeast-derived ingredient that functions as a good soothing and skin-restoring agent. Adenosine has proven anti-wrinkle benefits due to its ability to energize skin’s surface so it looks smoother and younger. Naturally present throughout the body, adenosine is a beneficial ingredient all skin types can use.References for this information:Experimental Dermatology, August 2014, pages 553-554International Journal of Cosmetic Science, December 2006, pages 447-451British Journal of Pharmacology, October 2008, issue 4, pages 475-486PloS One, May 2008 (ePublication: http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0002107)"
33,                    adenosine phosphate                ,"A skin-soothing and restoring ingredient that’s structurally similar to adenosine triphosphate. It’s sometimes referred to as adenosine monophosphate, or AMP. Applied to skin, AMP helps create pathways within skin’s surface that assist with energy transport. This can visibly revitalize tired-looking, stressed skin.  References for this information: International Journal of Molecular Sciences, January 2017, ePublication Archives of Dermatological Research, May 2012, pages 313-317 Biomaterials, March 2006, pages 1,355-1,361 "
34,                    adenosine triphosphate                ,"Organic compound from adenosine, which is formed by the hydrolysis of yeast nucleic acids.Research has shown that ATP appears to have strong potential as a skin-restoring ingredient and as a soothing agent.References for this information:Journal of Cutaneous Medicine and Surgery, March-April 2004, issue 2, pages 90-96"
35,                    adipic acid/neopentyl glycol/trimellitic anhydride copolymer                ,A synthetic polymer.
36,                    advanced glycation endproduct (AGE)                ,"Advanced glycation end-products (AGEs) are destructive substances generated in the body when we consume refined sugars and due to environmental exposure without adequate protection. But first, a bit of backstory…  One of the more depressing skincare facts we can think of is how bad dietary sugar or high glycemic index foods (foods that turn to sugar almost immediately after eating them) are for almost every aspect of your skin. Chocolate cake, honey-drenched sweets, ice cream sundaes, bread pudding, and on and on (and we could go on and on) cause very bad things to happen to skin. UV light and air pollutants are attacking your skin from the outside in, and sugar is attacking it from the inside out.  What’s the relationship between sugar and AGEs? Sugars quickly and strongly bind to proteins in the skin (proteins are the main building blocks of skin) forming AGEs that progressively and continually destroy many aspects of skin, especially elastin and collagen, the two substances that give skin its firmness and resilience. Once generated, AGEs begin a cascade of progressive damage that isn’t easy to stop or reverse.  Research has also shown AGEs can cause abnormal melanin production that leads to the formation of brown spots and mottled skin discolorations. Another ironic acronym for this is RAGEs, meaning a receptor site for AGEs that induces unhealthy melanin production.  Although sugar is certainly a major culprit in the skin-damaging creation of AGEs, so is something called the Maillard Reaction (MR). The Maillard Reaction is what happens when you cook any food and brown or blacken it with high heat. That means steaming or sautéing food without browning is far healthier for your skin and body. And chargrilling foods, especially meats, at high heat is even worse! Our apologies to those who prefer their steaks well done.  While some skincare companies claim their products contain ingredients that can block AGEs from forming, that benefit hasn’t been supported anywhere in the research. In the meantime, while science is working on this insidious problem, eating a low sugar diet that’s rich in antioxidants, complex carbohydrates, and omega fatty acids is by far the best approach for younger-looking, healthy skin from the inside out (and when you put those ingredients on your skin it can help from the outside in too, it’s just not clear how much that helps control the visible effects of AGEs; however, a huge amount of research shows those ingredients to be beneficial for skin overall).  What about the occasional sweet treat? Although we can’t change what eating refined sugars does to your skin (and yes, this includes so-called sugar substitutes like raw honey and agave nectar, both of which the body recognizes as simple sugars), we also realize that sweets play a role in the pleasures of eating and celebrating. The trick is to keep it in moderation, meaning an occasional, judicious indulgence rather than daily consumption of desserts, sugary sodas, and flavored coffee drinks, the latter of which can contain an alarming amount of sugars.  References for this information: Journal of Agricultural Food Chemistry, February 2018, pages 1,325-1,329 Advances in Nutrition, January 2017, pages 54-62 Dermato-endocrinology, October 2017, page 9 Skin Pharmacology and Physiology, May 2016, pages 231-242 Skin Therapy Letter, November 2015, pages 1-5 Clinical Chemistry and Laboratory Medicine, January 2014, pages 169-174 Proceedings of the National Academy of Sciences, March 14, 2000, pages 2809–2813."
37,                    Aerocarpus santalinus                ,
38,                    Aesculus hippocastanum                ,
39,                    agar                ,
40,                    AGE                ,
41,                    Agrimonia eupatoria leaf extract                ,"Research shows this plant extract has antioxidant properties. Whether or not it has a benefit when applied topically is not known.References for this information:Journal of Ethnopharmacology, January 2005, issue 3, pages 145-150"
42,                    AHA                ,"Acronym for alpha hydroxy acid. AHAs are derived naturally from various plant sources and from milk, but 99% of the AHAs used in cosmetics are synthetically derived. In low concentrations (less than 3%), AHAs work as water-binding agents. At concentrations greater than 4% and in a base with an acid pH of 3 to 4, these ingredients can exfoliate by breaking down the substance that holds dead skin together.  The most effective and well-researched AHAs are glycolic acid and lactic acid. Malic acid, citric acid, and tartaric acid may also be effective.  AHAs may sensitize mucous membranes. However, AHAs have been widely used for improving signs of aging, dry skin and an uneven skin tone, all of which lead to younger-looking skin.  There is a vast amount of research that substantially describes how the aging process affects skin and that demonstrates that many of the unwanted changes can be improved by topical application of AHAs, including glycolic and lactic acids. AHA use can result in increased sensitivity to the sun, though wearing a sunscreen daily eliminates this risk.  Note: AHAs are of little benefit when added to rinse-off products, as their contact with skin is too brief for them to function as exfoliants or absorb into skin.  References for this information: Jundishapur Journal of Natural Pharmaceutical Products, January 2012, pages 9-10 Evidence Based Complementary and Alternative Medicine, June 2011, ePublication"
43,                    Ahnfeltia concinna extract                ,
44,                    ahnfeltia extract                ,
45,                    Ahnfeltiopsis concinna extract                ,"Type of red algae with calming and hydrating properties for skin. Reference for this information:International Journal of Cosmetic Dermatology, September 2012, pages 207-212"
46,                    alanine                ,
47,                    Alaria esculenta                ,
48,                    albumin                ,"Found in egg white, and can leave a film over skin. It can constrict skin temporarily, which can make it look smoother temporarily, but it can also cause sensitivity and is not helpful for skin."
49,                    alcloxa                ,"More technically known as aluminum chlorhydroxy allantoinate, alcloxa has constricting properties that can be sensitizing to skin."
50,                    alcohol                ,"""Alcohol"" refers to a group of organic compounds with a vast range of forms and uses in cosmetics and in other types of products and solutions.   For skin, there are good alcohols and bad alcohols, corresponding to high-molecular-weight alcohols and low-molecular-weight alcohols, respectively, which can have emollient properties (cetyl alcohol) or act as detergent cleansing agents like isopropanol.   There also are benign forms, including glycols, which are used as humectants to help hydrate and deliver ingredients into skin’s uppermost layers.  Alcohols with low molecular weights—the bad-for-skin kind—can be drying and sensitizing. The alcohols to be concerned about in skincare products are ethanol or ethyl alcohol, denatured alcohol, methanol, isopropyl alcohol, SD alcohol, and benzyl alcohol. The concern is when one or more of these are listed among the main ingredients; tiny amounts in an otherwise good formula aren’t a problem.  In addition to being drying and sensitizing, these alcohols can disrupt skin’s surface layers. Alcohol helps ingredients like retinol and vitamin C penetrate into the skin more effectively, but it does that by breaking down the surface layers of skin—destroying the very substances that keep your skin feeling healthier and looking younger over the long term.  Alcohols like SD and ""denatured"" immediately harm the skin, starting a chain reaction of damage that continues long after it has evaporated. A 2003 study published found that with regular exposure to alcohol-based products, cleansing becomes a damaging ordeal—skin is no longer able to keep water and cleansing agents from penetrating into it, thus further eroding its surface layers.  It also destroyed the substances in skin that help to naturally soothe and defend it against visible effects of environmental damage.  If that weren’t bad enough, exposure to alcohol causes healthy substances in skin to literally self-destruct. The research also showed that these destructive, aging effects on skin’s substances increased the longer the exposure to alcohol; that is, two days of exposure was dramatically more harmful than one day, and that is only from exposure to a 3% concentration (most skincare products with denatured alcohol contain greater amounts than that).  In short, for the healthy appearance of skin at any age, avoiding products that contain high amounts of the drying, sensitizing types of alcohol is a non-negotiable skincare must.  References for this information: Biochimica et Biophysica Acta, May 2012, issue 4, page 1410 Aging, March 2012, issue 3, pages 166-175 Chemical Immunology and Allergy, March 2012, pages 77-80Dermato-Endocrinology, January 2011, issue 1, pages 41-49 Journal of Occupational Medicine and Toxicology, November 2008, issue 3Experimental Dermatology, June 2008, issue 6, pages 542-551 Clinical Dermatology, September-October 2004, issue 5, pages 360-366 The Journal of Hospital Infection, December 2003, issue 4, pages 239-245 Alcohol Journal, April 2002, issue 3, pages 179-190"
51,                    Aleurites moluccana seed oil                ,
52,                    alfalfa extract                ,"Can be an antioxidant in skincare products.References for this information:Journal of Agricultural Food Chemistry, January 2001, issue 1, pages 308–314"
53,                    algae                ,"Algae are very simple, chlorophyll-containing organisms in a family that includes more than 20,000 different known species. In cosmetics, algae act as thickening agents, water-binding agents, and antioxidants.Some algae are also potential skin sensitizers. For example, the phycocyanin present in blue-green algae has been suspected of sensitization on the basis of patch tests.Other forms of algae, such as Irish moss and carrageenan, contain proteins, vitamin A, sugar, starch, vitamin B1, iron, sodium, phosphorus, magnesium, copper, and calcium. Most of these are beneficial for skin, as emollients, soothing agents, or antioxidants.New research shows forms of brown algae show promise for improving the appearance of aging skin. As a plant ingredient, all types of algae are prone to breaking down with routine exposure to air and light. Because of this, avoid anti-aging products with algae that are packaged in jars.References for this information:Bioresource Technology, May 2015, pages 355-362Marine Pharmacognosy: Trends and Applications, 2013Marine Drugs, January 2013, pages 146-164"
54,                    algae extract                ,
55,                    algin                ,Brown algae.
56,                    aliphatic hydrocarbon                ,Hydrocarbon contained in natural gas and mineral oils. It is a synthetic fluid with varying properties.
57,                    alkaline                ,"Anything with a pH higher than 7 is alkaline; a pH below 7 is acidic. Water has a pH of 7; skin has an average pH of 5.5. Skin sensitization can be caused by products with a pH of 8 or higher. Also, research indicates that the bacteria on skin proliferates in alkaline environmental.References for this information:eMedicine Journal, January 7, 2002, volume 3, number 1Cutis, December 2001, Supplemental, pages 12–19"
58,                    alkyloamides                ,"Identified on skincare product labels as DEA, triethanolamine (TEA), and monoethanolamine (MEA), these are used primarily for their foaming ability in shampoos, but can also be used as thickening or binding agents. They can be skin sensitizers. In addition, alkyloamides contain a free amine that can combine with formaldehyde-releasing preservatives in cosmetics, and there is concern that they may form harmful substances."
59,                    allantoin                ,"By-product of uric acid extracted from urea and considered an effective skin-soothing and skin-conditioning agent. Allantoin occurs naturally in the body. It can be extracted from plants (comfrey, chamomile) or made synthetically—the most common method for inclusion in cosmetics where it’s used in concentrations upwards of 2%.Reference for this information:Pharmacognosy Review, Volume 5, July-December 2011International Journal of Toxicology, May 2010, Supplement, pages 84S-97SJournal of Occupational Medicine and Toxicology, October 2008, ePublication"
60,                    allyl methacrylates crosspolymer                ,"Synthetic, non-aqueous polymer whose chief function is as a texture enhancer."
61,                    almond/borage/linseed/olive acids glycerides                ,"A mixture of the fatty acid and triglyceride components of several non-fragrant plant oils, including almond, borage, linseed, and olive. This blend hydrates and replenishes skin, provides antioxidant benefits, and can enhance skin’s natural resilience.    References for this information: American Journal of Clinical Dermatology, February 2018, pages 103-117 International Journal of Molecular Sciences, December 2017, ePublication Journal of Cosmetic Dermatology, December 2016, pages 549-558"
62,                    almond oil                ,"Also known as sweet almond oil, this is a non-volatile, non-fragrant oil extracted from the seeds of almonds and used as an emollient. Almond oil is a rich source of skin-replenishing ingredients including triglycerides and several fatty acids (oleic, linoleic, and myristic among them). It is not known to cause sensitivity.Almonds (Prunus amygdalus) can be sweet or bitter. Sweet almond is listed in Latin as Prunus amygdalus or Prunus dulcis and does not contain harmful constituents. Bitter almond comes from another species, Prunus amara, and does contain harmful constituents that shouldn’t be applied to skin.See natural moisturizing factor (NMF)References for this information: ISRN Toxicology, September 2013, ePublicationComplementary Therapies in Clinical Practice, February 2010, pages 10-12Journal of Agricultural and Food Chemistry, June 2008, pages 4,096-4,10"
63,                    Aloe barbadensis                ,
64,                    aloe barbadensis leaf juice extract                ,"May also be listed as aloe barbadensis leaf juice powder, aloe extract, or aloe juice."
65,                    aloe barbadensis leaf juice powder                ,Aloe barabadensis leaf juice powder is the powder form of the aloe plant. It is obtained from dried leaves of the aloe plant and functions as a skin-conditioning agent.
66,                    aloe extract                ,
67,                    aloe juice                ,
68,                    aloe vera                ,"Aloe vera (also listed by its Latin name of aloe barbadenis) is a commonly used plant extract that has soothing properties, antioxidant qualities, and serves as a hydrating agent for skin due to its polysaccharide and sterol content. Aloe is a good ingredient, but its benefits tend to be over exaggerated in the cosmetics worlds and more research is needed in regards to its effectiveness for some of the more outlandish or miraculous-sounding claims.In pure form straight from the leaves, aloe vera’s benefits for skin include its lack of occlusion and the refreshing sensation it provides (hence, why it’s in common “after sun” products).Note: Some brands use aloe in place of water in their products, but aloe is actually 99.5% water.References for this information:Giornale Italiano Di Dermatologia, February 2009, pages 85-91Indian Journal of Dematology, 2008, pages 163-166Skin Research and Technology, November 2006, pages 241-246Journal of Ethnopharmacology, December 1999, pages 3-37"
69,                    alpha bisabolol                ,
70,                    alpha glucan oligosaccharide                ,Emollient used in cosmetics that also has water-binding properties.
71,                    alpha hydroxy acid                ,
72,                    alpha isomethyl ionone                ,"Volatile fragrance and flavoring ingredient that must be listed on products that contain it due to its risk of causing a sensitized reaction at concentations as low as 0.001%. It’s an ingredient to avoid if you have sensitive skin, especially because it’s almost always combined with other volatile fragrance components such as linalool and eugenol.See linalool , eugenol , fragranceReferences for this information:Analytical and Bioanalytical Chemistry, July 2010, issue 6, pages 2579-2591Journal of Chromatography, April 2010, issue 16, pages 2599-2605"
73,                    alpha lipoic acid                ,"Alpha lipoic acid is an enzyme that, when applied topically on skin, appears to be a very good antioxidant. Taken internally, alpha lipoic acid is a water- and fat-soluble antioxidant capable of regenerating other antioxidants, such as vitamins C and E. It is also believed to exert numerous soothing effects.  It’s clear from the research that alpha lipoic acid is a potent antioxidant, but it isn’t the only one; there are lots of great antioxidants for skin—in fact, there isn’t a lot of research on topical application of alpha lipoic acid.   Alpha lipoic acid is also known as thioctic acid; it’s extremely vulnerable to degradation by sunlight. Higher concentrations (5% or greater) are capable of causing a burning or stinging sensation on skin.  References for this information: Acta Cirurgica Brasileira, October 2013, pages 708-715 Journal of Clinical Biochemistry and Nutrition, May 2009, issue 3, pages 218-222 The British Journal of Dermatology, October 2003, issue 4, pages 841-849 Clinical and Experimental Dermatology, October 2001, issue 7, pages 578-582"
74,                    alpha-tocopherol                ,
75,                    Alteromonas ferment extract                ,"Alteromonas is found in deep areas of seawater. Due to its polysaccharide structure, it has water-binding properties for skin and is reportedly a good soothing ingredient. There is preliminary information indicatiing that this ingredient also contributes to repairing skin's surface. As more research is done, it appears this ingredient holds even more promise for skin."
76,                    Althaea rosea                ,
77,                    Althea officinalis                ,Latin name for the marshmallow plant.
78,                    alumina                ,"Naturally occurring mineral used as an abrasive, a thickening agent, and an absorbent in cosmetics."
79,                    aluminum                ,"Aluminum is the most common element on Earth. It's also a common source of confusion in terms of its presence in cosmetics, specifically whether that presence poses a health risk. The fact is, when you read ""aluminum"" on an ingredient list, it isn't pure aluminum—not even close.Pure aluminum is not added to any skincare or makeup product. Rather, compounds (mixtures of aluminum), such as aluminum combined with other natural elements, are safety used in a variety of ways in personal care products, foods and medicines. These compounds contain only traces of aluminum, and in daily use over the long term are perfectly safe. Such ingredients actually contain less aluminum than what occurs naturally in plants, vegetables or even in the human body).Here are a few examples of the most common aluminum compounds used as ingredients in cosmetics, and a brief description of what they are (as well as their global safety status).aluminum chlorohydrate and aluminum chloride contain only trace quantities of pure aluminum. These are most commonly used in antiperspirant and deodorants (and some medications) with extensive safety records.alumina is also not ""aluminum,"" but rather a combination of minerals that contain various mixtures of aluminum, silica, chloride or zirconium and oxygen. It is also known as ""aluminum oxide"" or ""aluminum hydroxide,"" and is used safely in cosmetics, medicines and medical devices.magnesium aluminum silicate is refined from clay and often used as an absorbent ingredient in cosmetics. It is unable to penetrate skin.aluminum starch is made from a reaction of a plant-derived ingredient (starch), and often used as a thickening or absorbent ingredient in cosmetics. It has an extensive safety record. In cosmetics, the minute quantities of aluminum present in such ingredients are not at risk of absorption, as it these ingredients are insoluble—they are physically incapable of absorption into the body. This is true of such ingredients, whether they are used in cosmetics or skincare/personal care products.In fact, skin does not readily absorb cosmetic ingredients. It's actually quite challenging to penetrate the skin's outer layers with skincare or medical products—such formulas must be specifically engineered to allow ingredients to penetrate even the most superficial layer of skin.Thus, aluminum or aluminum ingredients do not contribute to health risks, and a link otherwise has not been established. Quite the opposite, as the Mayo Clinic, The World Health Organization, the European Union and the FDA have all concurred that there is no linkage of aluminum in personal care products to other health risks.Published literature and an overwhelming amount of research has shown that skin cannot absorb aluminum from these ingredients, and what is used is far less than what we are exposed to daily in the food and water (given aluminum is a natural element that's present all around us—whether we use products with aluminum ingredients or not). "
80,                    Aluminum hydroxide                ,Synthetic ingredient that functions as an opacifying agent. Secondary uses include coloring agent and absorbent. Aluminum hydroxide has no known skin toxicity.
81,                    aluminum magnesium silicate                ,Salt that has absorbent properties.
82,                    aluminum powder                ,Metallic element used as a coloring agent. It is composed of finely ground particles of aluminum. Permanently listed (since 1977) by the FDA as a safe coloring additive.
83,                    aluminum silicate                ,Salt that has absorbent and abrasive properties.
84,                    aluminum starch octenylsuccinate                ,"A synthetic powdery thickening agent, absorbent, and anti-caking agent used in cosmetics. When listed among the first few ingredients in a product, chances are the product will have a powder-like matte finish and fast dry time. The independent Cosmetic Ingredient Review Panel has determined that aluminum starch octenylsuccinate, as currently used in cosmetics, is safe.Reference for this information:International Journal of Toxicology, 2002, Supplement 1, pages 1-7"
85,                    aluminum stearate                ,Aluminum salt of stearic acid that functions as a thickening agent and helps stabilize products.
86,                    aluminum sulfate                ,It can be a skin sensitizer.
87,                    amino acid                ,"Fundamental constituents of all proteins found in the body, such as: alanine, arginine, asparagine, aspartic acid, cysteine, cystine, glutamic acid, glutamine, glycine, histidine, isoleucine, leucine, lysine, methionine, phenylalanine, proline, serine, threonine, tryptophan, tyrosine, and valine. Some of these amino acids can be synthesized by the body; others (known as essential amino acids) must be obtained from protein in the diet.In skincare products, amino acids act as water-binding agents, and some have antioxidant properties. Amino acids can be combined with other ingredients that have skin-restorative ability to work in unison to fight signs of aging. [1]References for this information:European Surgical Research, January-April 2002, issues 1-2, pages 53-60"
88,                    aminobutyric acid                ,Amino acid that has water-binding properties for skin and may be a soothing agent.
89,                    aminomethyl propanediol                ,Used to adjust pH in cosmetics.
90,                    aminomethyl propanol                ,"Synthetic ingredient used in cosmetics as a pH adjuster. It is considered safe as currently used in amounts of 2% or less in cosmetic formulas.Reference for this information:International Journal of Toxicology, Supplement, November-December 2009, pages 141S-161S"
91,                    ammonium acryloyldimethyltaurate/VP copolymer                ,"According to the Personal Care Product Council’s Ingredient Infobase, ammonium acryloyldimethyltaurate/VP copolymer is a synthetic polymer and film-forming agent that also serves to thicken cosmetic formulas. It is used in low amounts in a variety of products due to its stabilizing abilities and esthetically pleasing feel."
92,                    ammonium chloride                ,Alkaline salt used as a pH balancer in skin-care products; it is not used in concentrations that would be problematic for skin.
93,                    ammonium glycolate                ,Synthetic form of glycolic acid used as a pH adjuster and exfoliant. It is sometimes paired with regular glycolic acid to maintain the pH in a range that allows exfoliation.
94,                    ammonium hydroxide                ,"Clear, colorless liquid used in cosmetics to adjust a product’s pH. Ammonium hydroxide is synthetic and sometimes used instead of sodium hydroxide to maintain an acidic pH in AHA (alpha hydroxy acid) or similar exfoliant products. The small amounts used in cosmetics are not considered sensitizing on skin."
95,                    ammonium laureth sulfate                ,"Used primarily as a detergent cleansing agent; considered gentle and effective. It can be derived from coconut.References for this information:International Journal of Toxicology, July 2010, Supplement 4, pages 151S-161S"
96,                    ammonium lauryl sulfate                ,"Used primarily as a detergent cleansing agent; considered gentle and effective. It can be derived from coconut.Reference for this information:International Journal of Toxicology, 1983, pages 127-181"
97,                    amodimethicone                ,
98,                    amygdalic acid                ,
99,                    amyl cinnamate                ,Fragrant component.
100,                    amyl salicylate                ,Fragrant component.
101,                    amyris oil                ,Fragrant oil. It has no known benefit for skin.
102,                    Anacyclus pyrethrum                ,
103,                    Anacystis nidulans extract                ,
104,                    Ananas sativus fruit extract                ,
105,                    andiroba oil                ,Extracted from the Brazilian mahogany tree; it has skin soothing properties.
106,                    Anethum graveolens                ,
107,                    Angelica archangelica root oil                ,"Volatile oil obtained from the angelica plant. The oil contains chemical constituents that can be phototoxic, including bergapten, imperatorin, and xanthotoxin. Although some components of angelica oil have antioxidant ability, it is a risky ingredient to use on skin if it is exposed to sunlight.References for this information:Journal of Agricultural and Food Chemistry, March 2007, issue 5, pages 1737-1742"
108,                    Angelica polymorpha sinensis root extract                ,
109,                    anhydroxylitol                ,"A natural, plant-derived ingredient that acts as a humectant to help skin absorb and retain moisture.   References for this information:Carbohydrate Research, November 2004, pages 2,731-2,732"
110,                    anisaldehyde                ,Synthetic fragrance used in cosmetics.
111,                    anise                ,"Also known as aniseed, it can have potent antioxidant properties, but its fragrant component makes this a potential skin sensitizer, and it can cause photosensitivity."
112,                    annato extract                ,"Natural plant colorant derived from the flesh surrounding the seed of Bixa orellana, a shrub native to South America. It produces a deep yellow-orange to red color."
113,                    Anthemis nobilis flower extract                ,
114,                    anthocyanin                ,"Group of naturally occurring substances found in plants that give fruits, vegetables, and plants their unique color. Derived from two Greek words meaning plant and blue, anthocyanins are the pigments that make blueberries blue, raspberries red, and so on. Anthocyanins are potent antioxidants. More than 300 different anthocyanins have been identified."
